tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,n_attempts,learning_curve_mean,learning_curve_stderr
0.0,0.8,bt_laplace_bald_k,0.6967908852966448,0.09021070370846952,27,33,0,11,60,0,71,"0.7860,0.8043,0.8248,0.7763,0.8043,0.7356,0.7590,0.7928,0.7777,0.8039,0.7929,0.7906,0.7471,0.7021,0.7734,0.6960,0.6916,0.6752,0.6718,0.6968","0.0250,0.0219,0.0260,0.0512,0.0600,0.0906,0.0356,0.0494,0.0684,0.0583,0.0996,0.0678,0.0235,0.0467,0.0437,0.0896,0.0773,0.0752,0.0807,0.0902"
0.0,0.8,bt_laplace_bald_random,0.8564760777618453,0.02812276180128002,28,18,0,14,60,14,0,"0.8644,0.8835,0.8293,0.7937,0.8586,0.7825,0.7716,0.7366,0.7500,0.8287,0.8440,0.8332,0.8744,0.8107,0.7338,0.7281,0.8106,0.8491,0.8414,0.8565","0.0169,0.0330,0.0554,0.0167,0.0295,0.0565,0.0215,0.0149,0.0389,0.0220,0.0503,0.0090,0.0238,0.0104,0.0193,0.0448,0.0103,0.0231,0.0059,0.0281"
0.0,0.8,bt_laplace_bald_left,0.8709748225632622,0.060267962773780645,21,25,0,14,60,14,0,"0.8087,0.8896,0.8746,0.9150,0.8459,0.8853,0.8479,0.8711,0.8256,0.8472,0.8628,0.8340,0.8462,0.8538,0.8091,0.8432,0.8039,0.8218,0.7953,0.8710","0.0286,0.0324,0.0444,0.0273,0.0465,0.0459,0.0363,0.0436,0.0430,0.0421,0.0350,0.0448,0.0371,0.0426,0.0354,0.0512,0.0716,0.0715,0.0803,0.0603"
0.2,0.0,multiframe,0.9487291962506318,0.03366818307963551,17,22,21,0,39,0,0,"0.7689,0.8157,0.9380,0.9117,0.8892,0.9039,0.9281,0.9521,0.8921,0.9563,0.9331,0.9219,0.9173,0.9850,0.9849,0.9821,0.9883,0.9621,0.9449,0.9487","0.1238,0.0544,0.0246,0.0320,0.0389,0.0163,0.0184,0.0112,0.0574,0.0272,0.0065,0.0237,0.0473,0.0016,0.0050,0.0045,0.0068,0.0229,0.0373,0.0337"
0.2,0.0,bt_laplace_bald,0.7716114729017997,0.11996968815258002,35,25,0,0,60,0,0,"0.8579,0.7829,0.7209,0.8315,0.8783,0.8819,0.8428,0.8235,0.8166,0.8020,0.7973,0.7619,0.8362,0.8606,0.8264,0.7792,0.7474,0.7681,0.7697,0.7716","0.0194,0.0849,0.0226,0.0440,0.0545,0.0245,0.0409,0.0119,0.0518,0.0715,0.0773,0.1157,0.0574,0.0362,0.0591,0.0831,0.1189,0.1116,0.0920,0.1200"
0.2,0.0,bt_laplace_bald_k,0.8505926013377946,0.025252594783745922,30,30,0,0,60,0,60,"0.8899,0.8441,0.8167,0.7520,0.8085,0.8152,0.8272,0.8488,0.8386,0.8482,0.8846,0.8960,0.8736,0.8880,0.9062,0.8754,0.8336,0.8391,0.8322,0.8506","0.0350,0.0173,0.0470,0.0278,0.0048,0.0256,0.0405,0.0292,0.0063,0.0205,0.0270,0.0137,0.0182,0.0109,0.0192,0.0182,0.0326,0.0269,0.0109,0.0253"
0.2,0.0,bt_laplace_bald_random,0.8206721087970935,0.03422531600041813,25,35,0,0,60,0,0,"0.7958,0.7811,0.6507,0.7391,0.7320,0.7494,0.7370,0.7708,0.7443,0.7835,0.8008,0.8172,0.7739,0.7643,0.7244,0.7554,0.8629,0.7863,0.8618,0.8207","0.0193,0.0452,0.0761,0.0460,0.0727,0.0745,0.0874,0.0510,0.0603,0.1041,0.0821,0.0855,0.0909,0.0291,0.0993,0.0689,0.0321,0.0563,0.0411,0.0342"
0.2,0.0,bt_laplace_bald_left,0.8435666124786225,0.04017023169105545,35,25,0,0,60,0,0,"0.8584,0.8248,0.8235,0.8109,0.8110,0.8200,0.8072,0.8187,0.8184,0.8591,0.8082,0.8324,0.8074,0.7832,0.7698,0.8090,0.7971,0.8194,0.8315,0.8436","0.0514,0.0483,0.0488,0.0484,0.0518,0.0369,0.0327,0.0120,0.0167,0.0118,0.0204,0.0499,0.0334,0.0374,0.0304,0.0209,0.0261,0.0319,0.0486,0.0402"
0.2,0.2,multiframe,0.9039634797341956,0.06834496733883415,19,19,22,0,38,0,0,"0.6574,0.7029,0.9208,0.9431,0.9220,0.7811,0.9617,0.9414,0.9595,0.9779,0.9878,0.9903,0.9812,0.9911,0.9878,0.9937,0.9931,0.9946,0.9975,0.9040","0.1180,0.1319,0.0306,0.0361,0.0264,0.1525,0.0184,0.0326,0.0204,0.0070,0.0019,0.0018,0.0081,0.0048,0.0039,0.0029,0.0037,0.0020,0.0009,0.0683"
0.2,0.2,bt_laplace_bald,0.6194026735624508,0.10801771902704048,33,24,0,3,57,0,0,"0.7714,0.5977,0.5858,0.6880,0.7303,0.8316,0.8212,0.8342,0.8101,0.7328,0.7103,0.6803,0.6667,0.7043,0.6351,0.6088,0.6419,0.6035,0.6701,0.6194","0.0867,0.1485,0.1099,0.1334,0.0997,0.0647,0.0554,0.0083,0.0486,0.0493,0.0395,0.0742,0.0742,0.0859,0.0898,0.0768,0.0661,0.0958,0.0846,0.1080"
