tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.2,0.0,bt_laplace_bald_random,0.5964218803303737,0.24922102456019948,16,21,3,0,40,3,"0.5862,0.5188,0.5430,0.5246,0.5739,0.6049,0.6379,0.5620,0.5786,0.5805,0.5673,0.5474,0.5510,0.5505,0.5527,0.5853,0.5564,0.5550,0.5760,0.5964","0.0744,0.1477,0.1613,0.1444,0.1578,0.1812,0.2115,0.1871,0.2107,0.1752,0.1871,0.2186,0.1732,0.2581,0.2828,0.2270,0.1985,0.2427,0.2399,0.2492"
0.2,0.0,bt_laplace_bald_left,0.7510277414344431,0.14436610571908803,24,15,1,0,40,1,"0.6000,0.4626,0.4474,0.4843,0.3970,0.5187,0.6909,0.7290,0.7106,0.8435,0.8688,0.8163,0.7928,0.7412,0.7725,0.7596,0.7962,0.7397,0.7626,0.7510","0.0972,0.0459,0.0597,0.0343,0.0349,0.0984,0.1037,0.1571,0.1828,0.0900,0.0679,0.1015,0.1224,0.1647,0.1371,0.1521,0.1185,0.1635,0.1460,0.1444"
0.2,0.2,multiframe,0.9952565585823067,0.0014572461090726757,8,6,26,0,14,0,"0.7615,0.6626,0.6229,0.8521,0.9062,0.9788,0.9777,0.9863,0.9938,0.9830,0.9109,0.9935,0.9895,0.9600,0.9855,0.9625,0.7302,0.9735,0.9713,0.9953","0.0152,0.0759,0.0813,0.0585,0.0224,0.0007,0.0040,0.0090,0.0020,0.0038,0.0528,0.0015,0.0005,0.0243,0.0030,0.0190,0.1786,0.0180,0.0025,0.0015"
0.2,0.2,bt_laplace_bald,0.8239465541101889,0.08085812945219703,21,18,1,0,39,0,"0.6461,0.6722,0.7089,0.6783,0.7750,0.7674,0.8517,0.9068,0.9458,0.8423,0.8348,0.8279,0.8451,0.9315,0.8682,0.8306,0.8315,0.8354,0.8356,0.8239","0.0699,0.0076,0.0985,0.1748,0.0748,0.1082,0.0606,0.0035,0.0025,0.0720,0.0722,0.0806,0.0599,0.0171,0.0562,0.0854,0.0869,0.0912,0.0822,0.0809"
0.2,0.2,bt_laplace_bald_k,0.6418827049276286,0.224961609549812,20,20,3,2,40,0,"0.7335,0.5957,0.4856,0.4691,0.5352,0.6006,0.5092,0.5611,0.6187,0.6180,0.6436,0.7682,0.6696,0.6435,0.7133,0.6870,0.6009,0.6048,0.5781,0.6419","0.0451,0.0513,0.1045,0.1799,0.1826,0.2276,0.1894,0.2432,0.2514,0.2462,0.2370,0.1467,0.2069,0.2236,0.1704,0.1948,0.2567,0.2460,0.2768,0.2250"
0.2,0.2,bt_laplace_bald_random,0.9124942364371385,0.03508479110224698,19,17,1,3,40,4,"0.6071,0.6199,0.5988,0.6031,0.6781,0.7373,0.6994,0.7638,0.7475,0.7392,0.7345,0.7542,0.8670,0.9100,0.9402,0.9376,0.8811,0.8853,0.9318,0.9125","0.1690,0.1728,0.1763,0.1396,0.0589,0.0477,0.1388,0.0290,0.0501,0.0763,0.0507,0.0389,0.0124,0.0173,0.0037,0.0140,0.0550,0.0442,0.0192,0.0351"
0.2,0.2,bt_laplace_bald_left,0.7976516637301285,0.03191535071578475,20,14,3,3,40,6,"0.7490,0.5784,0.5448,0.5104,0.4205,0.4228,0.4448,0.4869,0.4402,0.5131,0.6115,0.6843,0.8433,0.8056,0.7293,0.7282,0.7617,0.7654,0.8183,0.7977","0.0356,0.1195,0.1286,0.1338,0.1579,0.1304,0.1608,0.1875,0.1399,0.1598,0.0550,0.0672,0.0548,0.0032,0.0171,0.0343,0.0420,0.0511,0.0378,0.0319"
0.2,0.4,multiframe,0.9963802506975095,0.0019577574014402518,9,8,23,0,17,0,"0.7163,0.9070,0.8941,0.9397,0.9787,0.9776,0.9891,0.9101,0.9891,0.9951,0.9964,0.9976,0.9792,0.9984,0.9983,0.9176,0.7682,0.9920,0.9880,0.9964","0.0878,0.0280,0.0380,0.0114,0.0017,0.0100,0.0033,0.0095,0.0054,0.0023,0.0001,0.0007,0.0112,0.0003,0.0006,0.0559,0.1578,0.0035,0.0030,0.0020"
0.2,0.4,bt_laplace_bald,0.7990295398461112,0.09985919140549607,15,17,2,6,32,0,"0.5844,0.5769,0.4645,0.4911,0.5032,0.5196,0.5985,0.6158,0.6845,0.6968,0.7495,0.7588,0.7409,0.7678,0.8190,0.7919,0.8343,0.8352,0.8296,0.7990","0.0848,0.0818,0.1209,0.1157,0.1391,0.1425,0.0240,0.0498,0.0434,0.0471,0.0857,0.0616,0.1199,0.0860,0.0945,0.0969,0.0782,0.0617,0.0794,0.0999"
0.2,0.4,bt_laplace_bald_k,0.7214057293902523,0.16480390866347505,20,20,4,5,40,0,"0.6877,0.6863,0.6558,0.5551,0.6414,0.5586,0.4757,0.4910,0.4850,0.5626,0.5224,0.5259,0.5898,0.6257,0.7325,0.6199,0.6359,0.6497,0.6714,0.7214","0.0332,0.0362,0.0644,0.0291,0.0212,0.0854,0.1284,0.1250,0.1357,0.0852,0.1115,0.1789,0.1860,0.2279,0.1727,0.2207,0.2164,0.1765,0.1731,0.1648"
