tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.0,bt_map_k,2,9,0.7825964338595428
0.0,0.0,bt_map_k,2,10,0.676499633521974
0.0,0.0,bt_map_k,2,11,0.5844060571831684
0.0,0.0,bt_map_k,2,12,0.5639710612428086
0.0,0.0,bt_map_k,2,13,0.6096076532610201
0.0,0.0,bt_map_k,2,14,0.611048952062579
0.0,0.0,bt_map_k,2,15,0.5890193802642005
0.0,0.0,bt_map_k,2,16,0.546625097143749
0.0,0.0,bt_map_k,2,17,0.5742550516621587
0.0,0.0,bt_map_k,2,18,0.5059181803273597
0.0,0.0,bt_map_k,2,19,0.5266914995733206
0.0,0.0,bt_map_k,2,20,0.5955689937409622
0.0,0.0,bt_map_random,0,1,0.6687872481493929
0.0,0.0,bt_map_random,0,2,0.7266287802178332
0.0,0.0,bt_map_random,0,3,0.8068615960747679
0.0,0.0,bt_map_random,0,4,0.8851243489728579
0.0,0.0,bt_map_random,0,5,0.7425592106780114
0.0,0.0,bt_map_random,0,6,0.7907117610871092
0.0,0.0,bt_map_random,0,7,0.7765447638517432
0.0,0.0,bt_map_random,0,8,0.7616153620472946
0.0,0.0,bt_map_random,0,9,0.7717640473162466
0.0,0.0,bt_map_random,0,10,0.7976488319362399
0.0,0.0,bt_map_random,0,11,0.7704437158789721
0.0,0.0,bt_map_random,0,12,0.7304363146987359
0.0,0.0,bt_map_random,0,13,0.7225760945370739
0.0,0.0,bt_map_random,0,14,0.7068376695576826
0.0,0.0,bt_map_random,0,15,0.708550628645538
0.0,0.0,bt_map_random,0,16,0.7328743736801042
0.0,0.0,bt_map_random,0,17,0.7800371440910754
0.0,0.0,bt_map_random,0,18,0.7885246950670212
0.0,0.0,bt_map_random,0,19,0.8432651974883992
0.0,0.0,bt_map_random,0,20,0.7984332196016989
0.0,0.0,bt_map_random,1,1,0.5948232211045266
0.0,0.0,bt_map_random,1,2,0.5827616526576286
0.0,0.0,bt_map_random,1,3,0.6039162822673811
0.0,0.0,bt_map_random,1,4,0.5929702310654689
0.0,0.0,bt_map_random,1,5,0.47710609451199426
0.0,0.0,bt_map_random,1,6,0.2502797551795908
0.0,0.0,bt_map_random,1,7,0.1760612865839248
0.0,0.0,bt_map_random,1,8,0.3471424584541207
