seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
9,100,A,0.5016574158325237,0.7742,100,49,51,0,0
9,100,B1,0.6318338505847048,0.7124,100,49,51,0,0
9,100,B2,0.5054956869219356,0.7748,100,49,51,0,0
9,100,C,0.6305788851706209,0.712,100,57,43,0,0
10,100,A,0.4836124279085754,0.7668,100,52,48,0,0
10,100,B1,0.6329806817814438,0.6782,100,52,48,0,0
10,100,B2,0.4782555390100588,0.768,100,52,48,0,0
10,100,C,0.6306074377118833,0.7102,100,49,51,0,0
11,100,A,0.4949300754948649,0.7516,100,54,46,0,0
11,100,B1,0.6365888600192042,0.6584,100,54,46,0,0
11,100,B2,0.49515496432715117,0.7518,100,54,46,0,0
11,100,C,0.632917256561413,0.7468,100,44,56,0,0
12,100,A,0.4729490421027851,0.771,100,58,42,0,0
12,100,B1,0.6314447002794541,0.7186,100,58,42,0,0
12,100,B2,0.47273780254523756,0.771,100,58,42,0,0
12,100,C,0.6308459241094605,0.7384,100,55,45,0,0
13,100,A,0.49127294091096746,0.7636,100,52,48,0,0
13,100,B1,0.6365789103692308,0.6602,100,52,48,0,0
13,100,B2,0.4916130148090937,0.7638,100,52,48,0,0
13,100,C,0.6339004069570234,0.7404,100,48,52,0,0
14,100,A,0.46729386285323654,0.7742,100,55,45,0,0
14,100,B1,0.6316740692031911,0.7142,100,55,45,0,0
14,100,B2,0.4677132471608769,0.774,100,55,45,0,0
14,100,C,0.6347791378899085,0.6828,100,54,46,0,0
15,100,A,0.4697362970003145,0.7694,100,52,48,0,0
15,100,B1,0.6384070863968611,0.6812,100,52,48,0,0
15,100,B2,0.4697450301014626,0.769,100,52,48,0,0
15,100,C,0.6335274654747826,0.6786,100,54,46,0,0
16,100,A,0.49500237608519254,0.7656,100,59,41,0,0
16,100,B1,0.6313665771270598,0.695,100,59,41,0,0
16,100,B2,0.4956417151634736,0.7656,100,59,41,0,0
16,100,C,0.6331326314655451,0.7508,100,51,49,0,0
17,100,A,0.5417585840923889,0.761,100,47,53,0,0
17,100,B1,0.6309550113456445,0.723,100,47,53,0,0
17,100,B2,0.5493865164688178,0.7606,100,47,53,0,0
17,100,C,0.6315372979508059,0.6892,100,44,56,0,0
18,100,A,0.5165848768203155,0.7498,100,46,54,0,0
18,100,B1,0.6327296965430856,0.7222,100,46,54,0,0
18,100,B2,0.5182968315001293,0.7492,100,46,54,0,0
18,100,C,0.6317971705883924,0.7096,100,56,44,0,0
19,100,A,0.4982721869837283,0.7652,100,59,41,0,0
19,100,B1,0.6310910266759416,0.698,100,59,41,0,0
19,100,B2,0.4989102646640278,0.7658,100,59,41,0,0
19,100,C,0.6345982643552532,0.6722,100,50,50,0,0
0,200,A,0.47612222819954314,0.7682,200,101,99,0,0
0,200,B1,0.6406257623431837,0.6828,200,101,99,0,0
0,200,B2,0.47619600265683204,0.7686,200,101,99,0,0
0,200,C,0.6310160487360976,0.7178,200,114,86,0,0
1,200,A,0.46773309774261007,0.768,200,89,111,0,0
1,200,B1,0.6313354991711729,0.725,200,89,111,0,0
1,200,B2,0.4676802361553431,0.768,200,89,111,0,0
1,200,C,0.6307630920347254,0.7238,200,117,83,0,0
2,200,A,0.48942019888943433,0.7596,200,93,107,0,0
2,200,B1,0.6340563732225268,0.67,200,93,107,0,0
2,200,B2,0.4900435017126027,0.7596,200,93,107,0,0
2,200,C,0.6305175017259503,0.7272,200,111,89,0,0
3,200,A,0.46973268149481356,0.7744,200,88,112,0,0
3,200,B1,0.6346857647629222,0.6914,200,88,112,0,0
3,200,B2,0.4698225725789497,0.7742,200,88,112,0,0
3,200,C,0.6315143552233848,0.7444,200,101,99,0,0
4,200,A,0.47562446262859814,0.7694,200,92,108,0,0
4,200,B1,0.6369155089299973,0.6964,200,92,108,0,0
4,200,B2,0.47562983912379475,0.7694,200,92,108,0,0
4,200,C,0.6310297186158952,0.7174,200,101,99,0,0
5,200,A,0.46684871616053736,0.7716,200,92,108,0,0
5,200,B1,0.6305656792224882,0.7234,200,92,108,0,0
5,200,B2,0.46674592445549734,0.7718,200,92,108,0,0
5,200,C,0.6311450659618231,0.7334,200,98,102,0,0
6,200,A,0.47325305792031513,0.7724,200,100,100,0,0
6,200,B1,0.6313542267300034,0.6916,200,100,100,0,0
6,200,B2,0.4733711917140479,0.7722,200,100,100,0,0
6,200,C,0.6315439611649166,0.7294,200,93,107,0,0
7,200,A,0.4652466206049152,0.774,200,106,94,0,0
7,200,B1,0.63436282284042,0.7328,200,106,94,0,0
7,200,B2,0.46513267128504276,0.7738,200,106,94,0,0
7,200,C,0.6308854875973177,0.7376,200,89,111,0,0
