tau,tau_prime,method,trial,timestep,cos_sim,l1_error,holdout_ll,n_left,n_right,n_indifferent,n_incomparable,n_attempts
0.0,0.0,multiframe,0,32,0.8536303293822565,0.5818141629493527,0.7067134660555783,,,,,
0.0,0.0,multiframe,0,33,0.6945156481046265,0.8217057062974953,0.6959864925771231,,,,,
0.0,0.0,multiframe,0,34,0.8537093292299694,0.5978743288094627,0.6974190142834681,,,,,
0.0,0.0,multiframe,0,35,0.8307296372516176,0.5935018749867518,0.7021011799083126,,,,,
0.0,0.0,multiframe,0,36,0.7902835611689497,0.6652785434512398,0.706615305469475,,,,,
0.0,0.0,multiframe,0,37,0.7627920129258181,0.6969484700870812,0.7176304166600299,,,,,
0.0,0.0,multiframe,0,38,0.8369476895453537,0.6458513435408919,0.6855274157054163,,,,,
0.0,0.0,multiframe,0,39,0.8573662529856493,0.582067986894958,0.6995825092019747,,,,,
0.0,0.0,multiframe,0,40,0.8597533452153678,0.5612971667044595,0.6959111826978084,,,,,
0.0,0.0,multiframe,0,41,0.7151864514187288,0.7220430065330647,0.7145715035764495,,,,,
0.0,0.0,multiframe,0,42,0.7028500072550349,0.8591230999871282,0.7056711444203135,,,,,
0.0,0.0,multiframe,0,43,0.6270171846432362,0.8825733722896045,0.7036057816750262,,,,,
0.0,0.0,multiframe,0,44,0.6848355572877722,0.7721758320348914,0.6987596809444336,,,,,
0.0,0.0,multiframe,0,45,0.8746919276580545,0.5823138115579551,0.6881832388152473,,,,,
0.0,0.0,multiframe,0,46,0.9517865810198677,0.40441685336126193,0.6816041759285624,,,,,
0.0,0.0,multiframe,0,47,0.5660039388453816,0.9502378029795019,0.7266339419710058,,,,,
0.0,0.0,multiframe,0,48,0.6745542512198747,0.8228809343029123,0.7157443682767561,,,,,
0.0,0.0,multiframe,0,49,0.6872578859828408,0.7965634519707884,0.7128127528224429,,,,,
0.0,0.0,multiframe,0,50,0.7971323504696951,0.6426536509811127,0.6801094792516186,,,,,
0.0,0.0,multiframe,0,-1,0.7971323504696951,0.6426536509811127,0.6801094792516186,25.0,25.0,0.0,0.0,50.0
0.0,0.0,multiframe,1,1,0.5257474715293211,1.2737148413988229,0.7053473656686539,,,,,
0.0,0.0,multiframe,1,2,0.3863300851556227,1.447392276168032,0.6849745825741625,,,,,
0.0,0.0,multiframe,1,3,0.6828041830352891,1.103941793837494,0.6893369811677256,,,,,
0.0,0.0,multiframe,1,4,0.700701323623908,1.0644334582342474,0.6848926283637973,,,,,
0.0,0.0,multiframe,1,5,0.5557523122851842,1.241360815723194,0.6824341707521866,,,,,
0.0,0.0,multiframe,1,6,0.6348707004019268,1.1519215669913916,0.7000413237315086,,,,,
0.0,0.0,multiframe,1,7,0.618683907979523,1.1492744758220024,0.6950839577235631,,,,,
0.0,0.0,multiframe,1,8,0.520700622844953,1.24505405901031,0.6798649358829104,,,,,
0.0,0.0,multiframe,1,9,0.38642110250927514,1.3694953676704675,0.6878243791319498,,,,,
0.0,0.0,multiframe,1,10,0.5716817018247671,1.2000426786347766,0.6941221597906586,,,,,
0.0,0.0,multiframe,1,11,0.4439730803286535,1.291354936807622,0.7020131852247192,,,,,
0.0,0.0,multiframe,1,12,0.31528087539716293,1.4089241622403412,0.67499831314306,,,,,
0.0,0.0,multiframe,1,13,0.5882466069824335,1.0923679019204724,0.7057588529912505,,,,,
0.0,0.0,multiframe,1,14,0.5760916429940988,1.1887552693872614,0.6791129858254321,,,,,
0.0,0.0,multiframe,1,15,0.4944651840133326,1.1653876014435272,0.688393353620008,,,,,
0.0,0.0,multiframe,1,16,0.5777053139032309,1.0686052049124006,0.6712437638238994,,,,,
0.0,0.0,multiframe,1,17,0.5023887450787409,1.145606065823539,0.7013139405616934,,,,,
0.0,0.0,multiframe,1,18,0.5518925738767793,1.1201274565751331,0.6834305328577124,,,,,
0.0,0.0,multiframe,1,19,0.44053982535647956,1.327248339192057,0.6931877909056193,,,,,
0.0,0.0,multiframe,1,20,0.4867611209896814,1.2155912657404948,0.6815286671306557,,,,,
0.0,0.0,multiframe,1,21,0.5804279840574317,1.2044806807812887,0.6836651767212532,,,,,
0.0,0.0,multiframe,1,22,0.5207339794877864,1.2584663383331742,0.6820589516026572,,,,,
0.0,0.0,multiframe,1,23,0.4225966609674367,1.3627543655889613,0.6986954398571205,,,,,
0.0,0.0,multiframe,1,24,0.5627851887068761,1.1027385391115674,0.6793652727612313,,,,,
0.0,0.0,multiframe,1,25,0.6316805140930386,1.009981097076924,0.698415744462511,,,,,
0.0,0.0,multiframe,1,26,0.49551765613431886,1.219650080261576,0.7011033160496214,,,,,
0.0,0.0,multiframe,1,27,0.540923913289713,1.2636895768839902,0.6781128898379915,,,,,
0.0,0.0,multiframe,1,28,0.611287570820442,1.0806445890968162,0.7006184213361686,,,,,
0.0,0.0,multiframe,1,29,0.591065485668334,1.091183952634661,0.6865617422179301,,,,,
0.0,0.0,multiframe,1,30,0.615653073123157,1.1037129355188566,0.6819917100902694,,,,,
0.0,0.0,multiframe,1,31,0.7468574714597248,0.8989483973781758,0.6911562632706331,,,,,
0.0,0.0,multiframe,1,32,0.46375044399143717,1.1802579011166305,0.68128198057875,,,,,
0.0,0.0,multiframe,1,33,0.6090251164965959,1.0677541443469607,0.7064045082826751,,,,,
0.0,0.0,multiframe,1,34,0.574688729352656,1.2036427350359469,0.6929777083327829,,,,,
0.0,0.0,multiframe,1,35,0.5766084350569269,1.090851136430001,0.6854068038266751,,,,,
0.0,0.0,multiframe,1,36,0.33802463575661884,1.442485331424649,0.6816489696552483,,,,,
0.0,0.0,multiframe,1,37,0.27199539382903454,1.5500252823047074,0.6862450432909962,,,,,
0.0,0.0,multiframe,1,38,0.611153770000552,1.052605423233651,0.7068790100039051,,,,,
0.0,0.0,multiframe,1,39,0.34345708001959635,1.4487608628184236,0.6970370178492241,,,,,
0.0,0.0,multiframe,1,40,0.49019702402518706,1.2346865466014008,0.7079725056552364,,,,,
0.0,0.0,multiframe,1,41,0.43869241809526416,1.2304221920729037,0.6902713359570583,,,,,
0.0,0.0,multiframe,1,42,0.486955326495185,1.1546608999991355,0.6838422785189648,,,,,
0.0,0.0,multiframe,1,43,0.5319293439316338,1.2412957180125357,0.6871963444023049,,,,,
0.0,0.0,multiframe,1,44,0.5472069514737298,1.1283634241337197,0.6891343713406785,,,,,
0.0,0.0,multiframe,1,45,0.5617209140749331,1.1099744018245072,0.7037452895355527,,,,,
0.0,0.0,multiframe,1,46,0.3738802013325418,1.3780600598992057,0.6961099958670296,,,,,
0.0,0.0,multiframe,1,47,0.7270662292030919,1.0470470922736688,0.6845963373341887,,,,,
0.0,0.0,multiframe,1,48,0.42406549347845235,1.3479263181147931,0.7082974852865516,,,,,
0.0,0.0,multiframe,1,49,0.39664908649447006,1.2958145978373659,0.686774918527208,,,,,
0.0,0.0,multiframe,1,50,0.8176341603855022,0.7936469731837166,0.6945289985641044,,,,,
0.0,0.0,multiframe,1,-1,0.8176341603855022,0.7936469731837166,0.6945289985641044,28.0,22.0,0.0,0.0,50.0
0.0,0.0,multiframe,2,1,0.6240730983237065,0.938881077096363,0.6915835995388108,,,,,
0.0,0.0,multiframe,2,2,0.5840849349789186,1.0115708794328269,0.6948239258876149,,,,,
0.0,0.0,multiframe,2,3,0.41045113873916456,1.069157588203811,0.7121631507907052,,,,,
0.0,0.0,multiframe,2,4,0.6515748464717542,0.9306589309639322,0.6872369270485759,,,,,
0.0,0.0,multiframe,2,5,0.6033159553599504,0.888703113157561,0.6940151311600411,,,,,
0.0,0.0,multiframe,2,6,0.5594853507900546,1.0027641656891095,0.7104611141998705,,,,,
0.0,0.0,multiframe,2,7,0.49743010380732705,1.0570047537140472,0.6894695289898976,,,,,
0.0,0.0,multiframe,2,8,0.565059943107193,1.024343803993428,0.6887085845197447,,,,,
0.0,0.0,multiframe,2,9,0.6949762851387492,0.8741191857740638,0.696754931854792,,,,,
0.0,0.0,multiframe,2,10,0.8143213227216509,0.7060888243278327,0.7027861824025676,,,,,
0.0,0.0,multiframe,2,11,0.43815986685164526,1.1835846401812349,0.6846919277978588,,,,,
0.0,0.0,multiframe,2,12,0.5386598225119531,1.1000009959849404,0.6896586871108206,,,,,
0.0,0.0,multiframe,2,13,0.7704699856014136,0.745541631160307,0.6732055952892282,,,,,
0.0,0.0,multiframe,2,14,0.6498587859178065,0.9490786754144382,0.7045532180198496,,,,,
0.0,0.0,multiframe,2,15,0.48136336908053856,1.0974078119404687,0.7258283112191886,,,,,
0.0,0.0,multiframe,2,16,0.7043228534317773,0.8363034400899287,0.6883048611619098,,,,,
0.0,0.0,multiframe,2,17,0.5233100275439957,1.010090111846581,0.7213261842086744,,,,,
0.0,0.0,multiframe,2,18,0.5844494543030465,0.9246741886806111,0.6814493471228436,,,,,
0.0,0.0,multiframe,2,19,0.6138958849017557,0.9214113100544219,0.6909727487396137,,,,,
