personID,num_Q,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,AorB,model_prediction,model_score_A,model_score_B
V6,16,1,2,2,2,3,10,2,2,1,4,0,12,0,A,B,50.0,65.0
V6,19,0,3,2,5,1,0,0,0,0,0,0,1,2,B,A,67.0,27.0
V6,20,1,4,2,4,1,7,0,1,2,3,1,0,0,A,B,63.0,65.0
V6,23,1,0,2,3,0,6,0,3,2,4,0,8,3,B,A,58.0,42.0
V6,26,0,3,0,0,5,9,3,3,2,0,3,8,2,A,B,42.0,50.0
V6,27,1,3,0,5,0,2,1,4,2,1,1,1,2,B,A,39.0,37.0
V6,29,1,4,2,5,0,6,2,0,2,1,3,2,1,A,B,43.0,45.0
V6,30,0,4,1,3,0,2,0,2,0,0,6,2,1,B,A,55.0,44.0
V6,39,1,1,1,0,5,8,1,4,0,0,3,7,2,B,A,58.0,41.0
V6,42,1,2,0,3,1,2,0,3,1,3,0,10,2,B,A,49.0,45.0
V6,45,1,2,0,5,1,10,2,2,1,1,4,5,3,B,A,42.0,36.0
V7,7,0,3,1,3,1,7,1,4,0,2,0,5,2,B,A,11.5,8.0
V7,9,0,2,2,1,0,1,0,3,2,3,1,6,1,B,A,12.0,11.5
V7,13,0,1,0,1,1,2,0,0,0,3,0,0,1,B,A,8.5,7.0
V7,20,0,4,2,2,2,12,1,3,2,2,3,12,0,A,B,14.0,16.0
V7,21,1,0,2,2,0,10,2,3,1,1,1,4,0,A,B,12.0,12.5
V7,31,0,1,1,1,3,7,3,4,1,2,2,0,0,B,A,15.0,13.0
V7,43,1,3,1,2,2,9,1,1,0,3,0,0,1,B,A,13.0,7.0
