personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
D2,29,A,1,3,0,2,3,3,2,1,0,2,0,4,0,0.34880238862637214,0.1496100525300109,0.24920622057819153,0.09959616804818062,A
D2,30,A,0,4,2,5,0,0,2,4,0,1,3,9,0,0.5542573090166143,0.04026417952477446,0.2972607442706944,0.2569965647459199,A
D2,31,B,1,1,0,4,0,10,0,1,1,1,1,12,3,0.3443270141033514,-0.035675455553188545,0.15432577927508145,0.19000123482826997,B
D2,32,B,1,4,0,4,1,5,2,4,1,3,0,6,0,0.29206316647785585,-0.18219804147655244,0.054932562500651705,0.23713060397720415,B
D2,33,A,0,2,2,1,0,10,3,0,1,5,0,10,2,0.27667258023216074,0.17707641218398013,0.22687449620807043,0.049798084024090306,A
D2,34,A,1,3,0,4,1,10,0,4,2,3,0,8,2,0.4767333961478081,-0.17260746225295398,0.15206296694742705,0.324670429200381,B
D2,35,B,1,4,1,0,0,12,2,2,0,5,1,6,0,0.39373204476392903,0.06001694765221183,0.22687449620807043,0.1668575485558586,A
D2,36,A,0,4,2,0,6,9,3,2,1,5,0,9,0,0.6910695416758199,0.39228103753127813,0.541675289603549,0.1493942520722709,A
D2,37,B,1,4,0,4,0,0,2,3,0,5,1,4,3,0.15679796746848124,0.05186436966998835,0.1043311685692348,0.05246679889924644,A
D2,38,A,0,2,2,4,1,8,1,2,0,3,1,2,3,0.38945962151465924,0.3598704582977961,0.3746650399062277,0.014794581608431556,A
D2,39,A,0,2,0,4,0,10,2,0,0,3,1,8,1,0.19653647040519415,-0.017856349847100383,0.08934006027904688,0.10719641012614727,B
D2,40,B,1,1,0,4,1,5,2,2,1,4,1,0,1,0.24433136809966358,-0.24433136809966358,0.0,0.24433136809966358,B
D2,41,B,0,4,0,5,1,5,2,1,0,2,3,9,1,0.2986048266467746,-0.010858536998391823,0.1438731448241914,0.15473168182258323,B
D2,42,A,0,3,2,1,0,4,1,1,2,1,0,6,3,0.19386775553003804,0.19386775553003804,0.19386775553003804,0.0,A
D2,43,B,1,4,2,2,1,11,2,1,2,3,1,8,1,0.19120546524687643,0.07681471559026426,0.13401009041857034,0.057195374828306084,A
D2,44,B,1,4,0,1,0,3,1,1,2,5,1,4,3,0.5636076928254498,-0.09146364868913727,0.23607202206815625,0.3275356707572935,B
D2,45,A,0,4,1,4,1,12,0,2,1,3,0,6,0,0.1566014407867249,0.12701227756986178,0.14180685917829333,0.014794581608431556,A
D5,1,B,0,4,2,4,0,7,1,0,2,2,3,4,3,0.4593292313417696,-0.17344570464442347,0.1429417633486731,0.3163874679930965,B
D5,2,B,1,2,0,3,1,12,1,3,1,1,2,4,3,0.4224798639950773,-0.2114138820544005,0.1055329909703384,0.3169468730247389,B
D5,3,A,1,3,2,2,1,7,2,2,2,3,1,6,0,0.24618728398460438,0.025569752382911162,0.13587851818375776,0.11030876580084661,A
D5,4,A,0,3,2,1,3,2,3,2,2,3,1,1,2,0.3526187758040918,0.23753423517273692,0.29507650548841435,0.057542270315677435,A
D5,5,B,0,4,2,5,0,2,3,3,2,4,1,4,3,0.1617658989525154,-0.12395841344131517,0.01890374275560011,0.14286215619691528,B
D5,6,B,1,3,0,4,1,11,3,2,0,3,0,4,1,0.291177764075395,-0.23980171567074518,0.025688024202324897,0.26548973987307006,B
D5,7,A,0,4,0,2,2,7,1,4,0,1,4,11,3,0.28383407759702783,-0.03456189701228532,0.12463609029237126,0.15919798730465656,B
D5,8,B,0,1,2,4,1,10,2,1,1,3,0,7,3,0.20995597617360923,-0.07175132298778843,0.0691023265929104,0.14085364958069882,B
D5,9,B,1,3,0,4,0,9,0,3,1,1,2,9,0,0.41225063748300483,-0.41225063748300483,0.0,0.41225063748300483,B
D5,10,A,1,3,1,0,3,10,2,1,2,0,0,7,1,0.13480569948908483,0.0006180595356971227,0.06771187951239098,0.06709381997669385,A
