FOOD (incoming donation),,,SIZE (recipient organization size),,,ACCESS (clients' access to food),,,INCOME ( household median income of the clients’ neighborhood),,,POVERTY (percentage of people in poverty within the population of clients’ neighborhood),,,LAST DONATION (the last time the recipient organization received a donation from 412 Food Rescue),,, DONATION ( number of donations that the recipient has received in the last three months),,,DISTANCE (time it takes to transport donation from the donor to recipient),,
Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning
,,,,,,,,,,,,,,,,,,65,total-10-10-0,total of 10 donations = 10 common + 0 less common,,,
,,,,,,,,,,,,,,,,,,66,total-11-0-11,total of 11 donations = 0 common + 11 less common,,,
,,,,,,,,,,,,,,,,,,67,total-11-1-10,total of 11 donations = 1 common + 10 less common,,,
,,,,,,,,,,,,,,,,,,68,total-11-2-9,total of 11 donations = 2 common + 9 less common,,,
,,,,,,,,,,,,,,,,,,69,total-11-3-8,total of 11 donations = 3 common + 8 less common,,,
,,,,,,,,,,,,,,,,,,70,total-11-4-7,total of 11 donations = 4 common + 7 less common,,,
,,,,,,,,,,,,,,,,,,71,total-11-5-6,total of 11 donations = 5 common + 6 less common,,,
,,,,,,,,,,,,,,,,,,72,total-11-6-5,total of 11 donations = 6 common + 5 less common,,,
,,,,,,,,,,,,,,,,,,73,total-11-7-4,total of 11 donations = 7 common + 4 less common,,,
,,,,,,,,,,,,,,,,,,74,total-11-8-3,total of 11 donations = 8 common + 3 less common,,,
,,,,,,,,,,,,,,,,,,75,total-11-9-2,total of 11 donations = 9 common + 2 less common,,,
,,,,,,,,,,,,,,,,,,76,total-11-10-1,total of 11 donations = 10 common + 1 less common,,,
,,,,,,,,,,,,,,,,,,77,total-11-11-0,total of 11 donations = 11 common + 0 less common,,,
,,,,,,,,,,,,,,,,,,78,total-12-0-12,total of 12 donations = 0 common + 12 less common,,,
,,,,,,,,,,,,,,,,,,79,total-12-1-11,total of 12 donations = 1 common + 11 less common,,,
,,,,,,,,,,,,,,,,,,80,total-12-2-10,total of 12 donations = 2 common + 10 less common,,,
,,,,,,,,,,,,,,,,,,81,total-12-3-9,total of 12 donations = 3 common + 9 less common,,,
,,,,,,,,,,,,,,,,,,82,total-12-4-8,total of 12 donations = 4 common + 8 less common,,,
,,,,,,,,,,,,,,,,,,83,total-12-5-7,total of 12 donations = 5 common + 7 less common,,,
,,,,,,,,,,,,,,,,,,84,total-12-6-6,total of 12 donations = 6 common + 6 less common,,,
,,,,,,,,,,,,,,,,,,85,total-12-7-5,total of 12 donations = 7 common + 5 less common,,,
,,,,,,,,,,,,,,,,,,86,total-12-8-4,total of 12 donations = 8 common + 4 less common,,,
,,,,,,,,,,,,,,,,,,87,total-12-9-3,total of 12 donations = 9 common + 3 less common,,,
,,,,,,,,,,,,,,,,,,88,total-12-10-2,total of 12 donations = 10 common + 2 less common,,,
,,,,,,,,,,,,,,,,,,89,total-12-11-1,total of 12 donations = 11 common + 1 less common,,,
,,,,,,,,,,,,,,,,,,90,total-12-12-0,total of 12 donations = 12 common + 0 less common,,,
